"","engword","meaning","langgroup","setword"
"444","afraid","fear; fearful, afraid","POC","*matakut"
"445","afraid","fearful, afraid","PAN","*ma-takut"
"446","afraid","to frighten, make afraid","PMP","*pa-takut"
"447","after","after, behind; the outside of an object; stern of a canoe","POC","*muri"
"448","after","allotment of meat after butchering an animal","PPH","*sapuq"
"449","after","be cast adrift, cast ashore after going adrift","PPH","*padpád"
"450","after","behind, after","PWMP","*pa-udehi"
"451","after","bruised or cramping, of feet after too much walking","PPH","*tíkal"
"452","after","follow, come after","POC","*uri"
"453","after","follow, come after","PCEMP","*udi"
"454","after","follow, come after (in sequence)","PWMP ","*ku(n)tit"
"455","after","follow, go after",NA,"*(noise)"
"456","after","follow, walk after","PWMP ","*ayak1"
"457","after","in succession, one after the other","PWMP ","*suqud suqud"
"458","after","last, come after or behind; late, later; future; stern of a boat; youngest child; west; young; outside","PCEMP","*m-udi"
"459","after","last; come after or behind; late, later; future; stern of a boat; youngest child","PMP","*udehi"
"460","after","one after the other, successive","PPH","*sunúd-sunúd"
"461","after","satiated, full after eating","PPh ","*biaR2"
"462","after","solid residue left after squeezing to remove coconut oil, etc.","PPH","*lunek2"
"463","after","to be laid out after death, prepared for interment","PPH","*burul"
"464","after","to clean up a swidden after burning","PPH","*duluk"
"465","after","to entertain guests, look after visitors","PPH","*amuma"
"466","after","to evaporate, as vapor rising from the ground after rain","PPH","*su<U+014B>áw"
"467","after","to follow after someone, walk behind","PAN-F","*biliN"
"468","after","to lead the way; to follow after","POC","*suRi2"
"469","after","to pass through or by something, esp. after stopping","PPH","*lahús"
"470","after","wet; wash the anus after defecating","PMP","*biseq"
"471","after","wipe after defecating","PAN","*qiluS"
"472","afterbirth","placenta, afterbirth","POC","*tapuni"
"473","afterbirth","placenta, afterbirth","PMP","*tabuni1"
"474","afternoon","afternoon prayer",NA,"*(loan)"
"475","afternoon","afternoon, evening","POC","*paka-Rapiqi"
"476","afternoon","afternoon, evening; yesterday","POC","*Rapi"
"477","afternoon","late afternoon, evening; evening meal","PAN","*Rabiqi"
"478","afternoon","late afternoon, evening; evening meal; yesterday","PMP","*Rabiqi"
"479","afternoon","time of lengthening shadows; afternoon","PWMP","*li<U+014B>ay1"
"480","Afzelia","a hardwood tree: Intsia bijuga, Afzelia bijuga","PMP ","*qipil"
"481","again","again","PMP","*uman"
"482","again","again","PAN","*umaN"
"483","again","again",NA,"*(noise)"
"484","again","change, exchange; repeat, return; again","PPh ","*baliw-an"
"485","again","change, exchange; repeat, return; again","PMP","*baliw2"
"486","again","do again, repeat","PWMP ","*q<um>uman"
"487","again","repeat, do again","PAN","*ula<U+014B>"
"488","against","against, contrary to custom","PPH","*labag"
"489","against","backrest, place to lean back against","PWMP","*sandaR-an"
"490","against","fling down, dash against","PMP","*banti<U+014B>"
"491","against","go against the current, oppose, go in the opposite direction","PPH","*sudsud3"
"492","against","go against wind or current","PWMP","*su<U+014B>su<U+014B>1"
"493","against","graze, strike lightly against","PMP ","*ti<U+014B>kuq"
"494","against","high","PMP","*katik"
"495","against","hit something against something else","PAN","*CugCug1"
"496","against","knock against, collide with, beat up","PWMP ","*bugbug"
"497","against","knock against, of body parts","PMP","*ga(n)tuk"
"498","against","lean against, lean or incline on","PMP","*sandiR"
"499","against","lean against, lean or incline on","PMP","*sandeR"
"500","against","lean on or against","PWMP","*sandaR"
"501","against","nudge, bump against another person","PWMP ","*da(m)pil"
"502","against","oppose, go against someone","PMP","*laban-an"
"503","against","oppose, go against someone","PMP","*laban2"
"504","against","pit two opponents against each other; cockfight","PWMP","*sabu<U+014B>1"
"505","against","press feet against","PPH","*sikád-an"
"506","against","push with the feet; press feet against, set feet firmly to prevent being moved","PPH","*síkad"
"507","against","rub against, scrape, scratch","PMP","*garut"
"508","against","rub, scrape against","PAN","*gisgis1"
"509","against","scrape, rub against","PWMP ","*saRud"
"510","against","smack against","PMP ","*debek"
"511","against","smack against","PAN","*Cebak"
"512","against","sound of tapping or flicking (of finger, small implement, etc.) against something","PAN","*tik1"
"513","against","stamp or smack against","PMP ","*ambak"
"514","against","strike against","PWMP","*pa<U+014B>kaq"
"515","against","strike against","PWMP ","*bida"
"516","against","strike against","POC","*bak"
"517","against","struggle against, resist","PWMP","*sukul1"
"518","against","tasteless, insipid; powerless; antidote, as against snakebite","PWMP","*tabaR"
"519","against","thud, strike against","PMP ","*rumpak"
"520","against","to brush past, rub or scrape against; draw a line","PMP","*garis"
"521","against","to fall, of many things at once; to dislodge the contents of a container by knocking it against something","PAN","*taktak1"
"522","against","to graze, brush against, strike at an angle","PPH","*dap(e)lis"
"523","against","to knock, strike against","PAN","*pa(n)tuk2"
"524","against","to lean on or against","PWMP","*sindiR"
"525","against","to lean on or against","PMP","*sendiR"
"526","against","to lean on or against","PWMP","*sendeR"
"527","against","to lean on or against","PWMP","*s<um>andiR"
"528","against","to oppose, go against","PPH","*sudsud-en"
"529","against","to press against, crowd in on","PWMP","*sulsul2"
"530","against","to rest the head against something; pillow","PPH","*pu<U+014B>an"
"531","against","to rub against, scrape, scratch","PMP","*g<um>arut"
"532","against","touch or brush against","PPH","*saq(e)gid"
"533","agar-agar","gelatin, agar","PPH","*guláman"
"534","Agathis","the almasiga tree: Agathis celebica (Koord.)","PPH","*gala"
"535","age","adulthood, maturity; old age","PWMP","*ka-tuqah-an"
"536","age","age",NA,"*(loan)"
"537","age","bowed, hunched, as from age","PWMP ","*ru(<U+014B>)kuq"
"538","age","maiden, virgin, girl of marriageable age","PWMP ","*anak daRa"
"539","age","surpassing in age (?)","PWMP","*ka-tuqah"
"540","age","wrinkled, of the skin, as from age","PPH","*kubet-kubet"
"541","agency","genitive case marker for singular personal names and pronouns; marker of possession, part","PAN","*ni"
"542","agent","1sg. agent","PMP","*ni aku"
"543","agent","2sg possessor and non","PAN","*-nu2"
"544","agent","2sg. agent/possessor","PAN","*Su<U+0294>u"
"545","agent","2sg. possessor and agent of passive verb","PMP","*-mu"
"546","agent","3sg. agent/possessor","PAN","*ni-a"
"547","aggressiveness","aggressiveness, anger","PMP ","*qitaq"
"548","agile","agile, quick, swift, energetic","PMP","*ta(<U+014B>)kas"
"549","agile","dextrous, agile, skillful","PWMP","*sikap2"
"550","agile","nimble, agile, quick","POC","*sokas"
"551","agile","swift, agile, strong, energetic",NA,"*-kas3"
"552","agitated","agitated, of water","POC","*kopuR"
"553","agitated","agitated, of water","PMP","*kebuR"
"554","agitated","to be agitated, of water, as when fish swarm","PPH","*kabuR"
"555","agitated","to move or touch in an agitated or compulsive fashion","PPH","*garaw-en"
"556","ago","a moment ago, in a moment",NA,"*(noise)"
"557","agree","agree",NA,"*(loan)"
"558","agree","agree with, be in concord with","PPH","*áyun"
"559","agree","allow, agree, accept, permit","POC","*taRamwi"
"560","agree","follow, obey, agree with","PPH","*súrut"
"561","agree","to agree","PPH","*uyun2"
"562","agree","yes; agree, give assent","POC ","*qo"
"563","agreeable","pleasant, agreeable",NA,"*(loan)"
"564","agreeable","pleasant, agreeable; tasty, delicious","PWMP","*sedep2"
"565","agreement","agreement",NA,"*(loan)"
"566","agreement","agreement, consensus; harmony (especially in material exchanges)","PWMP","*payu"
"567","agreement","agreement, harmony","PWMP","*sapiq"
"568","agreement","die; dead; sick; tired (of); faint, lose consciousness; eclipse; new moon; extinguished; blocked (path); paralyzed; numb, asleep (limbs); die down (wind); waterless (springs, rivers); dry up (plants); beaten (in a game); fixed (price); terminate a matter, reach an agreement; disaster; intensive, superlative; desire intensely, be deeply in love","PMP","*m-atay"
"569","agreement","to nod the head, as in agreement","PPH","*ta<U+014B>uq"
"570","agreement","yes; expression of agreement","PMP","*heqe"
"571","agricultural","bolo used in agricultural work","PPH","*badu<U+014B>"
"572","aground","to run aground, be beached","PPH","*s<um>a<U+014B>(e)lád"
"573","aground","to run aground, be beached, of a boat","PPH","*sa<U+014B>(e)lád"
"574","ah","exclamation: ah!, oh!, alas!","PWMP","*abá"
"575","ahead","spy, scout, one who looks for possible danger ahead","PMP","*mata-mata"
"576","aid","sticks or other markers used as aids in calculation","PWMP ","*bila<U+014B>-bila<U+014B>"
"577","aid","temporary aid",NA,"*(noise)"
"578","aid","to aid, assist, help","PWMP","*t<um>ulu<U+014B>"
"579","ailing","spray water from the mouth; spray a mixture of saliva and masticated medicinal herbs on an ailing body part in curing","POC","*puRa"
"580","ailing","spray water from the mouth; spray a mixture of saliva and masticated medicinal herbs on an ailing body part in curing","PMP","*buRah"
"581","ailment","eye ailment",NA,"*(loan)"
"582","aim","point at, aim for; intend to do something; do something intentionally","PPH","*tuyuq"
"583","aim","to aim a weapon at","PPH","*tútuk"
"584","aim","visual assessment of something, as in taking aim, making a straight line, or forming an opinion","PWMP","*sipat"
"585","air","dust in the air, stir up dust","PPH","*tapuk2"
"586","air","exude or escape, of air, gases or similar substances (?)","PMP","*he<U+014B>aw"
"587","air","filled with air, bloated","PWMP ","*ha<U+014B>in-an"
"588","air","gasp for air","PMP ","*ekap"
"589","air","gasping for air",NA,"*(noise)"
"590","air","go out for some fresh air","PMP ","*pa(ka)-ha<U+014B>in-ha<U+014B>in"
"591","air","gust, draft, current of air","POC","*a<U+014B>in-a<U+014B>in"
"592","air","gust, draft, current of air; rumor","PMP","*ha<U+014B>in-ha<U+014B>in"
"593","air","leak out, of air","PWMP ","*hius"
"594","air","puff, blow, expel air rapidly, as in using a blowgun","PMP","*putput2"
"595","air","refresh oneself, go out for some fresh air","POC ","*paka-a<U+014B>in-a<U+014B>in"
"596","air","snort, sniff; blow air through the nostrils","PWMP ","*e<U+014B>kus"
"597","air","sound of escaping air",NA,"*-pus2"
"598","air","sound of escaping air, etc.","PMP ","*pes"
"599","air","sound of rushing water or air","PPh ","*hí<U+014B>ak"
"600","air","to catch, snatch, as a ball in the air","POC","*sikop"
"601","air","to fly, soar through the air","PWMP","*laya<U+014B>1"
"602","air","toss up, throw into the air","PWMP","*tala<U+014B>2"
"603","air","vapor, leaking air, fumes","PPH","*si<U+014B>aw"
"604","airborne","fine dust, airborne dust","PMP ","*sapuk"
"605","alas","exclamation: ah!, oh!, alas!","PWMP","*abá"
"606","alata","a tree: Cassia alata","PWMP ","*gali<U+014B>ga<U+014B>"
"607","alata","yam: Dioscorea alata Linn.","PMP ","*qubi"
"608","albacares","yellowfin tuna: Thunnus albacares","POC","*takua"
"609","albino","albino, unnaturally white","PPH","*uRis"
"610","albino","pale, albino","POC","*balaR2"
"611","albino","unnaturally white, albino","POC","*pulaR1"
"612","albino","unnaturally white, albino","PMP","*bulaR2"
"613","albino","unnaturally white, albino","POC","*pulan2"
"614","albino","unnaturally white, albino","PMP","*bulan2"
"615","albino","unnaturally white; albino","POC","*puraq1"
"616","albino","unnaturally white; albino","PMP","*budaq3"
"617","Albizia","a tree from which a sort of shampoo is derived: Albizia spp.","PWMP","*la<U+014B>iR"
"618","albus","a tree, the Chinese or Philippine mahogany: Shorea albus Foxw.","PMP","*bulah"
"619","albus","a tree, the Chinese or Philippine mahogany: Shorea albus Foxw.","PAN","*buleS"
"620","Alcippe","omen bird: Alcippe spp.","PAN-F","*SiSiN"
"621","alcohol","alcohol, distilled liquor",NA,"*(loan)"
"622","alert","be awake, watchful, alert","POC","*mamata"
"623","alert","quick, ready, alert",NA,"*(loan)"
"624","Aleurites","the candlenut tree: Aleurites moluccana","PEMP","*tuRi2"
"625","Aleurites","the candlenut tree: Aleurites moluccana","PMP","*kamiri"
"626","algae","moss, algae","PMP","*limut"
"627","algae","moss, algae, seaweed","PMP","*lumut"
"628","alibi","excuse, alibi","PPH","*dawa"
"629","alien","outsiders, alien people","PMP ","*qulun1"
"630","alien","outsiders, alien people","PMP ","*qaRta"
"631","alight","set alight, apply fire to","PWMP","*culcul"
"632","aligned","aligned, lined up","PPH","*batuR2"
"633","aligned","mate, companion, fellow; together with;  alike, the same as; aligned or in good order","PWMP","*sama"
"634","alignment","crooked, out of alignment","PWMP","*biqa<U+014B>2"
"635","alike","mate, companion, fellow; together with;  alike, the same as; aligned or in good order","PWMP","*sama"
"636","alive","captive, one taken alive in war; to spare, allow to live","PWMP ","*bihaR"
"637","alive","life, alive","PAN","*qudip1"
"638","alive","live, be alive; be captive","PPh ","*ma-bihaR"
"639","alive","living, alive","PPh ","*quyag"
"640","alive","living, alive; grow, flourish; fresh; heal, cure, revive, recover; vital principle, soul, spirit; flame","PMP ","*ma-qudip"
"641","alive","make alive, give life to","PPh ","*ma<U+014B>-bihaR"
"642","all","2pl. nominate and genitive; you all, your","PCEMP","*kamiu"
"643","all","2pl. nominative and genitive; you all, your","PMP","*kamu-yu"
"644","all","2pl. nominative, you all","PAN","*kamu-yu"
"645","all","2pl. nominative, you all","PMP","*kamu2"
"646","all","2pl. nominative, you all","PAN","*k-amu"
"647","all","2pl. personal pronoun, you all","PPH","*ka-yú"
"648","all","all","PPH","*tanan"
"649","all","all","PAN","*qemin"
"650","all","all around, surrounding","PMP","*temu1"
"651","all","all kinds of medicinal herbs","PWMP ","*bulu<U+014B> bulu<U+014B>"
"652","all","all three, three together, three in total","PMP","*ka-telu"
"653","all","all; finished","PAN","*amin"
"654","all","finished, completed; all gone","PWMP","*puspus1"
