"","language","language_code","long","lat","spoken","source_author","notes","data_entry","total_data","retentions","loans","classification","world_atlas_link","ethno_link"
"56","Kaulong (Au Village)","pss",-6.17,149.67,"Papua New Guinea","C. Throop","","Typed By: Debasish Roy  Checked By: Simon Greenhill","Total Data: 220","Number of Retentions: Proto Malayo-Polynesian:24","Proto-Oceanic:33Number of Loans: 3","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Western Oceanic:North New Guinea:Ngero-Vitiaz:Vitiaz:Southwest New Britain:Arawe-Pasismanua:Pasismanua","http://wals.info/languoid/lect/wals_code_kau","http://www.ethnologue.com/show_language.asp?code=pss"
"57","Kayupulau [Kajupulau]","kzu",NA,NA,NA,"Blust, from Grace","","Typed By: Penny Keenan  Checked By: Simon Greenhill","Total Data: 202","Number of Retentions: Proto Malayo-Polynesian:49","Proto-Oceanic:58Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Western Oceanic:North New Guinea:Sarmi-Jayapura Bay:Jayapura Bay",NA,"http://www.ethnologue.com/show_language.asp?code=kzu"
"58","Rarotongan","rar",NA,NA,NA,"POLLEX 2000 (Bruce Biggs & Ross Clark)","","Typed By: Simon Greenhill  Checked By: Simon Greenhill","Total Data: 356","Number of Retentions: Proto Malayo-Polynesian:103","Proto-Oceanic:139Number of Loans: 11","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:Central Pacific:East Fijian-Polynesian:Polynesian:Nuclear:East:Central:Tahitic",NA,"http://www.ethnologue.com/show_language.asp?code=rar"
"59","Kei (Tanimbar-Kei)","kei",-5.83,132.92,"Indonesia","Collins","Tanimbar-Kei Dialect","Typed By: Peng Du  Checked By: Simon Greenhill","Total Data: 214","Number of Retentions: Proto Malayo-Polynesian:71","Number of Loans: 2","Austronesian:Malayo-Polynesian:Central-Eastern:Central Malayo-Polynesian:Southeast Maluku:Kei-Tanimbar:Kei-Fordata","http://wals.info/languoid/lect/wals_code_kei","http://www.ethnologue.com/show_language.asp?code=kei"
"60","Kelabit (Bario)","kzi",3.67,115.42,"Malaysia","Blust","","Typed By: Simon Greenhill  Checked By: Simon Greenhill","Total Data: 231","Number of Retentions: Proto Malayo-Polynesian:90","Number of Loans: 1","Austronesian:Malayo-Polynesian:North Borneo:North Sarawakan:Dayic:Kelabitic","http://wals.info/languoid/lect/wals_code_klt","http://www.ethnologue.com/show_language.asp?code=kzi"
"61","Kemak","kem",NA,NA,NA,"Blust, from Stevens (1967)","Stevens, A.M. (1967) Kemak: An Austronesian language. Anthropological Linguistics, 9:26-32.","Typed By: Simon Greenhill  Checked By: Simon Greenhill","Total Data: 176","Number of Retentions: Proto Malayo-Polynesian:72","Number of Loans: 2","Austronesian:Malayo-Polynesian:Central-Eastern:Central Malayo-Polynesian:Timor:Ramelaic:West",NA,"http://www.ethnologue.com/show_language.asp?code=kem"
"62","Kenyah (Long Anap)","xkl",NA,NA,NA,"Blust","","Typed By: Penny Keenan  Checked By: Simon Greenhill","Total Data: 219","Number of Retentions: Proto Malayo-Polynesian:87","Number of Loans: 2","Austronesian:Malayo-Polynesian:North Borneo:North Sarawakan:Kayan-Kenyah:Kenyah",NA,"http://www.ethnologue.com/show_language.asp?code=xkl"
"63","Kerinci","kvr",NA,NA,NA,"Syahwin Nikelas","","Typed By: Peng Du  Checked By: Simon Greenhill","Total Data: 356","Number of Retentions: Proto Malayo-Polynesian:168","Number of Loans: 5","Austronesian:Malayo-Polynesian:Malayo-Chamic:Malayic:Malay",NA,"http://www.ethnologue.com/show_language.asp?code=kvr"
"64","Nukuoro","nkr",3.83,154.92,"Micronesia","POLLEX 2000 (Bruce Biggs & Ross Clark)","","Typed By: Simon Greenhill  Checked By: Simon Greenhill","Total Data: 217","Number of Retentions: Proto Malayo-Polynesian:88","Proto-Oceanic:112Number of Loans: 1","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:Central Pacific:East Fijian-Polynesian:Polynesian:Nuclear:Samoic-Outlier:Ellicean","http://wals.info/languoid/lect/wals_code_nkr","http://www.ethnologue.com/show_language.asp?code=nkr"
"65","Kusaie","kos",5.3,163,"Micronesia","Blust from: Lee (1976)","Lee, Kee-dong. 1976. Kusaiean-English Dictionary. University of Hawaii Press, Honolulu.","Typed By: Debasish Roy  Checked By: Simon Greenhill","Total Data: 403","Number of Retentions: Proto Malayo-Polynesian:125","Proto-Oceanic:165Number of Loans: 5","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:Micronesian:Micronesian Proper:Kusaiean","http://wals.info/languoid/lect/wals_code_kos","http://www.ethnologue.com/show_language.asp?code=kos"
"66","Kwaio","kwd",-8.95,161,"Solomon Islands","Blust from: Keesing (1975)","Keesing, R.M. (1975). Kwaio Dictionary. Canberra: Australian National University","Typed By: Penny Keenan  Checked By: Simon Greenhill","Total Data: 212","Number of Retentions: Proto Malayo-Polynesian:47","Proto-Oceanic:69Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Southeast Solomonic:Malaita-San Cristobal:Malaita:Northern","http://wals.info/languoid/lect/wals_code_kwa","http://www.ethnologue.com/show_language.asp?code=kwd"
"67","Lamogai (Mulakaino)","lmg",NA,NA,NA,"David J. Brunn, Mike Mikolavich, Informant: Rapi","Batiuling Village","Andreea: changed all [b] to [ß].","Typed By: Peng Du  Checked By: Simon Greenhill",NA,NA,"Total Data: 218
            Number of Retentions: Proto Malayo-Polynesian:26
             
            Proto-Oceanic:31Number of Loans: 3",NA,"http://www.ethnologue.com/show_language.asp?code=lmg"
"68","Lau","llu",-9.58,161.5,"Solomon Islands","Blust from: Fox (1974)","Fox, C. E. (1974). Lau Dictionary with English Index. Australian National University Press: Canberra.","Typed By: Simon Greenhill  Checked By: Simon Greenhill","Total Data: 272","Number of Retentions: Proto Malayo-Polynesian:83","Proto-Oceanic:104Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Southeast Solomonic:Malaita-San Cristobal:Malaita:Northern","http://wals.info/languoid/lect/wals_code_lau","http://www.ethnologue.com/show_language.asp?code=llu"
"69","Leipon","lek",NA,NA,NA,"Blust","","(P) - 116 ,125, 169? Portugese Loans?","Typed By: Penny Keenan  Checked By: Simon Greenhill",NA,NA,"Total Data: 181
            Number of Retentions: Proto Malayo-Polynesian:66
             
            Proto-Oceanic:78Number of Loans: 3",NA,"http://www.ethnologue.com/show_language.asp?code=lek"
"70","Letinese","lti",-8.2,127.67,"Indonesia","Blust from: Jonker (1932)","Jonker, J. C. G. (1932). Lettineesche taalstudiën. Verhandelingen van het Bataviaasch Genootschap van Kunsten en Wetenschappen 69. Bandung.","Typed By: Penny Keenan  Checked By: Simon Greenhill","Total Data: 217","Number of Retentions: Proto Malayo-Polynesian:90","Number of Loans: 1","Austronesian:Malayo-Polynesian:Central-Eastern:Central Malayo-Polynesian:Timor:Extra-Ramelaic:East:Luang-Kisar:Luang","http://wals.info/languoid/lect/wals_code_let","http://www.ethnologue.com/show_language.asp?code=lti"
"71","Levei","tlx",NA,NA,NA,"Blust","","Typed By: Debasish Roy  Checked By: Simon Greenhill","Total Data: 200","Number of Retentions: Proto Malayo-Polynesian:48","Proto-Oceanic:59Number of Loans: 5","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Admiralty Islands:Eastern:Manus:West",NA,"http://www.ethnologue.com/show_language.asp?code=tlx"
"72","Likum","lib",NA,NA,NA,"Blust","","Typed By: Penny Keenan  Checked By: Simon Greenhill","Total Data: 186","Number of Retentions: Proto Malayo-Polynesian:58","Proto-Oceanic:71Number of Loans: 1","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Admiralty Islands:Eastern:Manus:West",NA,"http://www.ethnologue.com/show_language.asp?code=lib"
"73","Loniu","los",-2.07,147.33,"Papua New Guinea","Blust","","Typed By: Peng Du  Checked By: Simon Greenhill","Total Data: 214","Number of Retentions: Proto Malayo-Polynesian:71","Proto-Oceanic:91Number of Loans: 2","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Admiralty Islands:Eastern:Manus:Mokoreng-Loniu","http://wals.info/languoid/lect/wals_code_lon","http://www.ethnologue.com/show_language.asp?code=los"
"74","Lou","loj",-2.38,147.32,"Papua New Guinea","Blust","","Typed By: Penny Keenan  Checked By: Simon Greenhill","Total Data: 200","Number of Retentions: Proto Malayo-Polynesian:62","Proto-Oceanic:77Number of Loans: 2","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Admiralty Islands:Eastern:Southeast Islands","http://wals.info/languoid/lect/wals_code_lou","http://www.ethnologue.com/show_language.asp?code=loj"
"75","Madurese","mad",-7,113.5,"Indonesia","Blust, from Nothofer (1975), Safioedin (1977)","Nothofer, B. (1975) The reconstruction of Proto-Malayo-Javanic, Verhandelingen Koninklijk Instituut voor Taal-, Land- en Volkenkunde, 73. The Hague: Nijhoff.
Safioedin, A. (1977) Kamus Bahasa Madura-Indonesia. Jakarta: National Center for Language Development.","Typed By: Simon Greenhill  Checked By: Simon Greenhill","Total Data: 216","Number of Retentions: Proto Malayo-Polynesian:91","Number of Loans: 12","Austronesian:Malayo-Polynesian:Madurese","http://wals.info/languoid/lect/wals_code_mdr","http://www.ethnologue.com/show_language.asp?code=mad"
"76","Nêlêmwa","nee",-20.25,164.08,"New Caledonia","Isabelle Bril","","Typed By: Isabelle Bril  Checked By:","Total Data: 230","Number of Retentions: Proto Malayo-Polynesian:64","Proto-Oceanic:77Number of Loans: 1","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:New Caledonian:Northern:Extreme Northern","http://wals.info/languoid/lect/wals_code_nel","http://www.ethnologue.com/show_language.asp?code=nee"
"77","Yapese","yap",9.58,138.17,"Micronesia","Blust, from Jensen, Corrections from Keira Ballantyne","","Typed By: Peng Du  Checked By: Simon Greenhill","Total Data: 260","Number of Retentions: Proto Malayo-Polynesian:32","Proto-Oceanic:34Number of Loans: 9","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Yapese","http://wals.info/languoid/lect/wals_code_yap","http://www.ethnologue.com/show_language.asp?code=yap"
"78","Yamdena","jmd",-7.5,131.5,"Indonesia","Blust, from Drabbe","Drabbe, P. (1926). Speakkunst der Jamdeensche taal. Gravenhage: Martinus Nijhoff","Typed By: Peng Du  Checked By: Simon Greenhill","Total Data: 250","Number of Retentions: Proto Malayo-Polynesian:106","Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern:Central Malayo-Polynesian:Southeast Maluku:Kei-Tanimbar:Yamdena","http://wals.info/languoid/lect/wals_code_ymd","http://www.ethnologue.com/show_language.asp?code=jmd"
"79","Mussau","emi",-1.45,149.62,"Papua New Guinea","Blust (1984)","Blust, R. (1984). A Mussau vocabulary with phonological notes. Papers in New Guinea Linguistics 23, 159-208.","Typed By: Simon Greenhill  Checked By: Simon Greenhill","Total Data: 204","Number of Retentions: Proto Malayo-Polynesian:60","Proto-Oceanic:81Number of Loans: 1","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:St. Matthias","http://wals.info/languoid/lect/wals_code_mus","http://www.ethnologue.com/show_language.asp?code=emi"
"80","Murnaten (Alune)","alp",-3,128.33,"Indonesia","Jim Collins","","Typed By: Peng Du  Checked By: Simon Greenhill","Total Data: 213","Number of Retentions: Proto Malayo-Polynesian:68","Number of Loans: 2","Austronesian:Malayo-Polynesian:Central-Eastern:Central Malayo-Polynesian:Central Maluku:East:Seram:Nunusaku:Three Rivers:Amalumute:Northwest Seram:Ulat Inai","http://wals.info/languoid/lect/wals_code_aln","http://www.ethnologue.com/show_language.asp?code=alp"
"81","Mono","mte",-7.05,155.75,"Solomon Islands","Blust, from Tryon & Hackman (1983)","Tryon, D.T. & Hackman, B. (1983) Solomon Islands languages: an internal classification.","Typed By: Penny Keenan  Checked By: Simon Greenhill","Total Data: 195","Number of Retentions: Proto Malayo-Polynesian:37","Proto-Oceanic:58Number of Loans: 4","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Western Oceanic:Meso Melanesian:New Ireland:South New Ireland-Northwest Solomonic:Mono-Uruava","http://wals.info/languoid/lect/wals_code_moa","http://www.ethnologue.com/show_language.asp?code=mte"
"82","Maleu","mgl",-5.72,148.42,"Papua New Guinea","Author Unknown","","Author Unknown","Typed By: Penny Keenan  Checked By: Simon Greenhill",NA,NA,"Total Data: 199
            Number of Retentions: Proto Malayo-Polynesian:60
             
            Proto-Oceanic:70Number of Loans: 0","http://wals.info/languoid/lect/wals_code_mlu","http://www.ethnologue.com/show_language.asp?code=mgl"
"83","Maloh","emb",1.17,112.33,"Indonesia","Blust, from King (1976)","King, Victor T.  1976.  The Maloh language: a
vocabulary and summary of the literature. The Sarawak Museum Journal 24.45(N.S.):137-171.","SA: Maloh is closely related to South Sulawesi languages (Adelaar 1994, 1995). (relationship is blurred by the strong Malay (and/or Iban) lexical influence).","Typed By: Simon Greenhill  Checked By: Simon Greenhill + Sander Adelaar",NA,NA,"Total Data: 224
            Number of Retentions: Proto Malayo-Polynesian:105
             
            Number of Loans: 7","http://wals.info/languoid/lect/wals_code_eml","http://www.ethnologue.com/show_language.asp?code=emb"
"84","Manggarai","mqy",-8.5,120.33,"Indonesia","Blust, from: Verheijen (1967)","Verheijen, J.A.J.(1967). Kamus Manggarai. I, Manggarai - Indonesia. II, Indonesia - Manggarai. The Hague: The Netherlands.","Forms marked 'umum' or found within 'Manggarai Barat' in Verheijen","Typed By: Peng Du  Checked By: Simon Greenhill",NA,NA,"Total Data: 235
            Number of Retentions: Proto Malayo-Polynesian:99
             
            Number of Loans: 3","http://wals.info/languoid/lect/wals_code_mng","http://www.ethnologue.com/show_language.asp?code=mqy"
"85","Maori","mri",-40,176,"New Zealand","Bruce Biggs","","Typed By: Simon Greenhill  Checked By: Simon Greenhill","Total Data: 230","Number of Retentions: Proto Malayo-Polynesian:83","Proto-Oceanic:115Number of Loans: 5","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:Central Pacific:East Fijian-Polynesian:Polynesian:Nuclear:East:Central:Tahitic","http://wals.info/languoid/lect/wals_code_mao","http://www.ethnologue.com/show_language.asp?code=mri"
"86","Maranao","mrw",7.83,124.25,"Philippines","McKaughan & Macaraya (1967)","McKaughan, H.P. & Macaraya, B.A. (1967). A Maranao dictionary. Honolulu: University of Hawaii Press.","Typed By: Simon Greenhill  Checked By: Simon Greenhill","Total Data: 224","Number of Retentions: Proto Malayo-Polynesian:116","Number of Loans: 1","Austronesian:Malayo-Polynesian:Philippine:Greater Central Philippine:Danao:Maranao-Iranon","http://wals.info/languoid/lect/wals_code_mrn","http://www.ethnologue.com/show_language.asp?code=mrw"
"87","Marovo","mvo",NA,NA,NA,"Blust, from Tryon & Hackman (1983)","Tryon, D.T. & Hackman, B. (1983) Solomon Islands languages: an internal classification.","Typed By: Penny Keenan  Checked By: Simon Greenhill","Total Data: 221","Number of Retentions: Proto Malayo-Polynesian:36","Proto-Oceanic:52Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Western Oceanic:Meso Melanesian:New Ireland:South New Ireland-Northwest Solomonic:New Georgia:East",NA,"http://www.ethnologue.com/show_language.asp?code=mvo"
"88","Masiwang","bnf",NA,NA,NA,"Jim Collins","","Typed By: Peng Du  Checked By: Simon Greenhill","Total Data: 204","Number of Retentions: Proto Malayo-Polynesian:94","Number of Loans: 7","Austronesian:Malayo-Polynesian:Central-Eastern:Central Malayo-Polynesian:Central Maluku:East:Seram:Masiwang",NA,"http://www.ethnologue.com/show_language.asp?code=bnf"
"89","Mekeo","mek",-8.33,146.5,"Papua New Guinea","Andrew Kavana","","Typed By: Simon Greenhill  Checked By: Simon Greenhill","Total Data: 213","Number of Retentions: Proto Malayo-Polynesian:63","Proto-Oceanic:72Number of Loans: 1","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Western Oceanic:Papuan Tip:Peripheral:Central Papuan:West Central Papuan:Nuclear","http://wals.info/languoid/lect/wals_code_mke","http://www.ethnologue.com/show_language.asp?code=mek"
"90","Melanau (Mukah)","mel",2.5,111.5,"Malaysia","Blust","","Typed By: Peng Du  Checked By: Simon Greenhill","Total Data: 229","Number of Retentions: Proto Malayo-Polynesian:99","Number of Loans: 11","Austronesian:Malayo-Polynesian:North Borneo:Melanau-Kajang:Melanau","http://wals.info/languoid/lect/wals_code_mel","http://www.ethnologue.com/show_language.asp?code=mel"
"91","Mengen","mee",NA,NA,NA,"Dan Rath","East New Britain","Typed By: Peng Du  Checked By: Simon Greenhill","Total Data: 214","Number of Retentions: Proto Malayo-Polynesian:50","Proto-Oceanic:62Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Western Oceanic:North New Guinea:Ngero-Vitiaz:Vitiaz:Mengen",NA,"http://www.ethnologue.com/show_language.asp?code=mee"
